,City,Latitude,Longitude,Hotel Name
10,Mossamedes,-15.2,12.15,Hotel ibis Styles Iu Namibe
16,Cape Town,-33.93,18.42,The Crystal
18,Moranbah,-22.0,148.05,Direct Hotels - Monterey Moranbah
42,Bherāmāra,24.02,88.99,
47,Hermanus,-34.42,19.23,The Marine Hermanus
63,Bredasdorp,-34.53,20.04,Bredasdorp Country Manor
97,Port Alfred,-33.59,26.89,The Halyards Hotel
100,Diego de Almagro,-26.37,-70.05,hotel luna del desierto
107,Carnarvon,-24.87,113.63,The Gascoyne Hotel
120,Ibrā’,22.69,58.53,Ibra Hotel
123,Ormara,25.21,64.64,Ormara Beach Resorts/ Bolan Safari
279,Salalah,17.02,54.09,Salalah Gardens Hotel
349,Parrita,9.52,-84.32,Hotel Cocomar
450,Kandiari,26.92,68.52,
458,Sur,22.57,59.53,Sur Plaza Hotel
466,Pasni,25.26,63.47,3G hotel pasni
480,Safi,32.3,-9.24,Kenzo Hotel
563,Bandar-e Lengeh,26.56,54.88,Diplomat Hotel
567,Hatta,24.12,79.6,Yadav Dhaba
